Date,Value
1964/04/16,10.1
1964/05/15,0.850
1964/05/16,1.07
1964/05/17,1.29
1964/05/18,1.67
1964/05/19,2.89
1964/05/20,4.30
1964/05/21,15.6
1964/05/22,2.69
1964/05/23,21.1
1964/05/24,10.6
1964/05/25,6.82
1964/05/26,2.17
1964/05/27,3.34
1964/05/28,5.52
1964/05/29,14.1
1964/05/30,14.1
1964/05/31,13.0
1964/06/01,12.4
1964/06/02,11.9
1964/06/03,9.15
1964/06/04,8.47
1964/06/05,8.24
1964/06/06,3.54
1964/06/07,3.40
1964/06/08,4.22
1964/06/09,6.12
1964/06/10,9.37
1964/06/11,8.47
1964/06/12,7.36
1964/06/13,6.74
1964/06/14,5.15
1964/06/15,2.17
1964/06/16,2.29
1964/06/17,2.55
1964/06/18,2.69
1964/06/19,2.69
1964/06/20,2.62
1964/06/21,2.89
1964/06/22,4.39
1964/06/23,11.2
1964/06/24,11.3
1964/06/25,8.92
1964/06/26,4.45
1964/06/27,1.88
1964/06/28,2.06
1964/06/29,2.00
1964/06/30,1.94
1964/07/01,6.63
1964/07/02,3.06
1964/07/03,1.45
1964/07/04,1.61
1964/07/05,2.00
1964/07/06,2.12
1964/07/07,2.83
1964/07/08,3.11
1964/07/09,3.11
1964/07/10,3.11
1964/07/11,3.45
1964/07/12,3.54
1964/07/13,3.26
1964/07/14,2.76
1964/07/15,2.35
1964/07/16,2.17
1964/07/17,2.29
1964/07/18,2.06
1964/07/19,2.06
1964/07/20,1.94
1964/07/21,1.77
1964/07/22,1.77
1964/07/23,1.77
1964/07/24,1.77
1964/07/25,1.72
1964/07/26,1.61
1964/07/27,1.50
1964/07/28,1.29
1964/07/29,1.29
1964/07/30,1.29
1964/07/31,1.45
1964/08/01,1.34
1964/08/02,1.40
1964/08/03,1.34
1964/08/04,1.77
1964/08/05,1.67
1964/08/06,1.40
1964/08/07,1.40
1964/08/08,1.72
1964/08/09,1.67
1964/08/10,1.56
1964/08/11,1.45
1964/08/12,1.34
1964/08/13,1.45
1964/08/14,1.40
1964/08/15,1.40
1964/08/16,1.83
1964/08/17,2.83
1964/08/18,3.34
1964/08/19,3.17
1964/08/20,3.45
1964/08/21,3.40
1964/08/22,2.83
1964/08/23,2.22
1964/08/24,1.94
1964/08/25,6.23
1964/08/26,22.5
1964/08/27,34.8
1964/08/28,5.92
1964/08/29,22.1
1964/08/30,8.35
1964/08/31,1.83
1964/09/01,1.83
1964/09/02,1.83
1964/09/03,1.56
1964/09/04,1.40
1964/09/05,1.40
1964/09/06,1.40
1964/09/07,1.34
1964/09/08,1.29
1964/09/09,1.20
1964/09/10,1.11
1964/09/11,1.07
1964/09/12,1.03
1964/09/13,0.850
1964/09/14,2.29
1964/09/15,2.55
1964/09/16,2.76
1964/09/17,3.34
1964/09/18,3.11
1964/09/19,3.11
1964/09/20,6.23
1964/09/21,29.7
1964/09/22,11.8
1964/09/23,6.51
1964/09/24,21.5
1964/09/25,10.3
1964/09/26,6.31
1964/09/27,8.58
1964/09/28,7.05
1964/09/29,19.5
1964/09/30,25.0
1964/10/01,19.4
1964/10/02,26.4
1964/10/03,22.1
1964/10/04,14.2
1964/10/05,3.99
1964/10/06,1.40
1964/10/07,1.45
1964/10/08,1.56
1964/10/09,1.56
1964/10/10,1.94
1964/10/11,26.7
1964/10/12,29.2
1964/10/13,19.0
1964/10/14,15.9
1964/10/15,14.4
1964/10/16,12.0
1964/10/17,1.40
1964/10/18,12.1
1964/10/19,27.0
1964/10/20,46.2
1964/10/21,9.37
1964/10/22,5.52
1964/10/23,9.15
1964/10/24,12.5
1964/10/25,20.5
1964/10/26,7.93
1964/10/27,2.62
1964/10/28,17.0
1964/10/29,20.0
1964/10/30,13.8
1964/10/31,9.37
1964/11/01,1.40
1964/11/02,2.17
1964/11/03,7.70
1964/11/04,26.5
1964/11/05,25.7
1964/11/06,20.8
1964/11/07,12.3
1964/11/08,11.2
1964/11/09,9.37
1964/11/10,8.16
1964/11/11,3.26
1964/11/12,1.16
1964/11/13,1.16
1964/11/14,1.11
1964/11/15,1.45
1964/11/16,2.29
1964/11/17,3.68
1964/11/18,3.82
1964/11/19,3.34
1964/11/20,2.83
1964/11/21,2.23
1964/11/22,1.83
1964/11/23,1.83
1964/11/24,1.89
1964/11/25,1.77
1964/11/26,1.56
1964/11/27,1.34
1964/11/28,1.25
1964/11/29,1.20
1964/11/30,1.20
1964/12/01,1.20
1964/12/02,1.45
1964/12/03,1.29
1964/12/04,1.45
1964/12/05,1.94
1964/12/06,10.2
1964/12/07,16.6
1964/12/08,26.5
1964/12/09,9.15
1964/12/10,3.74
1964/12/11,3.68
1964/12/12,3.26
1964/12/13,2.83
1964/12/14,2.41
1964/12/15,1.94
1964/12/16,1.56
1964/12/17,1.34
1964/12/18,1.20
1964/12/19,1.16
1965/03/15,1.67
1965/03/16,1.56
1965/03/17,1.29
1965/03/18,1.11
1965/03/19,0.980
1965/03/20,0.937
1965/03/21,0.937
1965/03/22,0.980
1965/03/23,0.980
1965/03/24,0.980
1965/03/25,0.980
1965/03/26,0.937
1965/03/27,0.895
1965/03/28,0.850
1965/03/29,0.821
1965/03/30,0.790
1965/03/31,0.759
1965/04/01,0.759
1965/04/02,0.790
1965/04/03,0.790
1965/04/04,0.850
1965/04/05,0.850
1965/04/06,0.850
1965/04/07,0.850
1965/04/08,0.895
1965/04/09,0.980
1965/04/10,1.03
1965/04/11,1.67
1965/04/12,16.3
1965/04/13,5.72
1965/04/14,2.62
1965/04/15,2.35
1965/04/16,4.30
1965/04/17,6.12
1965/04/18,7.16
1965/04/19,7.16
1965/04/20,3.34
1965/04/21,2.55
1965/04/22,4.79
1965/04/23,3.62
1965/04/24,3.62
1965/04/25,4.39
1965/04/26,11.8
1965/04/27,8.92
1965/04/28,3.82
1965/04/29,3.99
1965/04/30,3.11
1965/05/01,1.67
1965/05/02,2.17
1965/05/03,17.4
1965/05/04,13.5
1965/05/05,3.74
1965/05/06,4.53
1965/05/07,4.62
1965/05/08,5.24
1965/05/09,7.93
1965/05/10,21.1
1965/05/11,11.5
1965/05/12,13.1
1965/05/13,5.07
1965/05/14,1.83
1965/05/15,1.83
1965/05/16,2.12
1965/05/17,2.62
1965/05/18,2.62
1965/05/19,2.41
1965/05/20,2.00
1965/05/21,1.77
1965/05/22,1.50
1965/05/23,1.25
1965/05/24,1.07
1965/05/25,1.11
1965/05/26,1.25
1965/05/27,1.07
1965/05/28,0.850
1965/05/29,0.850
1965/05/30,0.850
1965/05/31,0.850
1965/06/01,0.937
1965/06/02,15.0
1965/06/03,8.24
1965/06/04,9.71
1965/06/05,2.55
1965/06/06,1.34
1965/06/07,1.29
1965/06/08,1.29
1965/06/09,1.29
1965/06/10,1.25
1965/06/11,1.16
1965/06/12,1.11
1965/06/13,1.07
1965/06/14,1.07
1965/06/15,0.980
1965/06/16,0.937
1965/06/17,0.937
1965/06/18,0.937
1965/06/19,0.895
1965/06/20,0.937
1965/06/21,1.07
1965/06/22,1.03
1965/06/23,1.11
1965/06/24,1.16
1965/06/25,1.11
1965/06/26,1.29
1965/06/27,1.07
1965/06/28,1.16
1965/06/29,1.11
1965/06/30,1.03
1965/07/01,0.980
1965/07/02,0.980
1965/07/03,1.07
1965/07/04,1.03
1965/07/05,0.937
1965/07/06,0.821
1965/07/07,0.821
1965/07/08,0.790
1965/07/09,0.895
1965/07/10,0.850
1965/07/11,0.790
1965/07/12,0.759
1965/07/13,0.759
1965/07/14,0.759
1965/07/15,0.850
1965/07/16,0.759
1965/07/17,0.759
1965/07/18,0.759
1965/07/19,0.731
1965/07/20,0.702
1965/07/21,0.671
1965/07/22,0.612
1965/07/23,0.552
1965/07/24,0.510
1965/07/25,0.467
1965/07/26,0.402
1965/07/27,0.382
1965/07/28,0.340
1965/07/29,0.340
1965/07/30,0.334
1965/07/31,0.334
1965/08/01,0.340
1965/08/02,0.382
1965/08/03,0.402
1965/08/04,0.402
1965/08/05,0.362
1965/08/06,0.382
1965/08/07,0.382
1965/08/08,0.362
1965/08/09,0.340
1965/08/10,0.340
1965/08/11,0.340
1965/08/12,0.334
1965/08/13,0.294
1965/08/14,0.272
1965/08/15,0.306
1965/08/16,0.311
1965/08/17,0.311
1965/08/18,0.306
1965/08/19,0.300
1965/08/20,0.283
1965/08/21,0.244
1965/08/22,0.238
1965/08/23,0.238
1965/08/24,0.238
1965/08/25,0.232
1965/08/26,0.227
1965/08/27,0.232
1965/08/28,0.232
1965/08/29,0.283
1965/08/30,0.232
1965/08/31,0.278
1965/09/01,0.294
1965/09/02,0.294
1965/09/03,0.266
1965/09/04,0.283
1965/09/05,0.283
1965/09/06,0.278
1965/09/07,0.283
1965/09/08,0.306
1965/09/09,0.306
1965/09/10,0.306
1965/09/11,0.294
1965/09/12,0.300
1965/09/13,0.300
1965/09/14,0.283
1965/09/15,0.272
1965/09/16,0.300
1965/09/17,0.300
1965/09/18,0.294
1965/09/19,0.289
1965/09/20,0.306
1965/09/21,0.382
1965/09/22,0.306
1965/09/23,0.300
1965/09/24,0.294
1965/09/25,0.261
1965/09/26,0.255
1965/09/27,0.249
1965/09/28,0.227
1965/09/29,0.759
1965/09/30,0.552
1965/10/01,0.612
1965/10/02,0.671
1965/10/03,1.34
1965/10/04,1.77
1965/10/05,9.94
1965/10/06,33.1
1965/10/07,21.2
1965/10/08,7.05
1965/10/09,7.70
1965/10/10,7.28
1965/10/11,12.9
1965/10/12,25.9
1965/10/13,10.4
1965/10/14,9.83
1965/10/15,9.49
1965/10/16,8.58
1965/10/17,5.24
1965/10/18,6.51
1965/10/19,7.48
1965/10/20,37.7
1965/10/21,18.7
1965/10/22,36.0
1965/10/23,23.1
1965/10/24,7.05
1965/10/25,6.40
1965/10/26,5.83
1965/10/27,5.24
1965/10/28,6.23
1965/10/29,5.52
1965/10/30,4.98
1965/10/31,5.24
1965/11/01,6.12
1965/11/02,7.59
1965/11/03,8.81
1965/11/04,10.6
1965/11/05,11.4
1965/11/06,9.83
1965/11/07,6.82
1965/11/08,6.63
1965/11/09,6.40
1965/11/10,5.92
1965/11/11,5.44
1965/11/12,5.15
1965/11/13,4.62
1965/11/14,4.30
1965/11/15,3.91
1965/11/16,2.00
1965/11/17,0.790
1965/11/18,0.731
1965/11/19,0.790
1965/11/20,1.45
1965/11/21,3.17
1965/11/22,1.16
1965/11/23,1.07
1965/11/24,1.03
1965/11/25,0.937
1965/11/26,0.937
1965/11/27,0.937
1965/11/28,1.83
1965/11/29,33.1
1965/11/30,33.1
1965/12/01,10.4
1965/12/02,2.83
1965/12/03,18.4
1965/12/04,22.8
1965/12/05,18.1
1965/12/06,17.1
1965/12/07,10.3
1965/12/08,0.702
1965/12/09,1.16
1965/12/10,1.34
1965/12/11,1.16
1965/12/12,1.29
1965/12/13,1.50
1965/12/14,1.29
1965/12/15,1.34
1965/12/16,1.50
1965/12/17,4.19
1965/12/18,18.4
1965/12/19,11.6
1965/12/20,17.8
1965/12/21,10.3
1965/12/22,16.6
1965/12/23,16.6
1965/12/24,3.74
1965/12/25,1.13
1965/12/26,1.23
1965/12/27,1.45
1965/12/28,1.97
1965/12/29,1.90
1965/12/30,1.69
1965/12/31,1.56
1966/01/01,1.56
1966/01/02,1.50
1966/01/03,1.50
1966/01/04,1.50
1966/01/05,1.50
1966/01/06,1.40
1966/01/07,1.40
1966/01/08,1.40
1966/01/09,1.40
1966/01/10,1.40
1966/01/11,1.40
1966/01/12,1.40
1966/01/13,1.29
1966/01/14,1.97
1966/01/15,13.4
1966/01/16,28.3
1966/01/17,16.3
1966/01/18,3.91
1966/01/19,15.8
1966/01/20,17.0
1966/01/21,12.6
1966/01/22,6.46
1966/01/23,1.18
1966/01/24,1.07
1966/01/25,1.07
1966/01/26,1.02
1966/01/27,0.985
1966/01/28,0.951
1966/01/29,0.985
1966/01/30,0.951
1966/01/31,0.951
1966/02/01,0.883
1966/02/02,0.883
1966/02/03,0.883
1966/02/04,1.29
1966/02/05,1.56
1966/02/06,1.29
1966/02/07,1.13
1966/02/08,1.07
1966/02/09,1.02
1966/02/10,1.56
1966/02/11,1.90
1966/02/12,1.97
1966/02/13,2.10
1966/02/14,2.03
1966/02/15,2.10
1966/02/16,11.0
1966/02/17,23.2
1966/02/18,14.4
1966/02/19,12.6
1966/02/20,11.6
1966/02/21,9.06
1966/02/22,19.7
1966/02/23,9.06
1966/02/24,10.2
1966/02/25,11.5
1966/02/26,16.8
1966/02/27,15.8
1966/02/28,7.02
1966/03/01,0.654
1966/03/02,0.629
1966/03/03,0.629
1966/03/04,0.603
1966/03/05,0.603
1966/03/06,0.603
1966/03/07,0.603
1966/03/08,0.603
1966/03/09,0.603
1966/03/10,0.629
1966/03/11,0.603
1966/03/12,0.629
1966/03/13,1.13
1966/03/14,1.02
1966/03/15,0.985
1966/03/16,1.02
1966/03/17,0.951
1966/03/18,0.951
1966/03/19,0.951
1966/03/20,0.917
1966/03/21,0.917
1966/03/22,1.69
1966/03/23,15.8
1966/03/24,6.14
1966/03/25,1.50
1966/03/26,10.1
1966/03/27,5.41
1966/03/28,4.11
1966/03/29,39.6
1966/03/30,26.1
1966/03/31,24.7
1966/04/01,24.7
1966/04/02,20.4
1966/04/03,11.8
1966/04/04,8.61
1966/04/05,4.56
1966/04/06,1.76
1966/04/07,2.73
1966/04/08,11.7
1966/04/09,16.1
1966/04/10,13.4
1966/04/11,11.5
1966/04/12,10.8
1966/04/13,5.69
1966/04/14,1.90
1966/04/15,2.59
1966/04/16,4.96
1966/04/17,7.25
1966/04/18,4.96
1966/04/19,5.32
1966/04/20,11.0
1966/04/21,14.8
1966/04/22,16.1
1966/04/23,13.5
1966/04/24,10.8
1966/04/25,8.72
1966/04/26,6.80
1966/04/27,5.21
1966/04/28,2.52
1966/04/29,0.680
1966/04/30,0.714
1966/05/01,1.07
1966/05/02,1.29
1966/05/03,1.29
1966/05/04,1.23
1966/05/05,1.34
1966/05/06,2.31
1966/05/07,9.29
1966/05/08,8.83
1966/05/09,2.31
1966/05/10,0.883
1966/05/11,1.23
1966/05/12,2.45
1966/05/13,5.61
1966/05/14,7.36
1966/05/15,7.36
1966/05/16,7.02
1966/05/17,4.96
1966/05/18,4.47
1966/05/19,18.5
1966/05/20,34.5
1966/05/21,18.3
1966/05/22,13.9
1966/05/23,15.9
1966/05/24,13.5
1966/05/25,15.4
1966/05/26,17.4
1966/05/27,12.7
1966/05/28,13.1
1966/05/29,9.51
1966/05/30,2.59
1966/05/31,0.629
1966/06/01,0.680
1966/06/02,0.883
1966/06/03,2.38
1966/06/04,2.45
1966/06/05,2.45
1966/06/06,5.32
1966/06/07,1.90
1966/06/08,1.18
1966/06/09,1.23
1966/06/10,1.29
1966/06/11,1.29
1966/06/12,1.69
1966/06/13,1.83
1966/06/14,1.90
1966/06/15,1.90
1966/06/16,1.90
1966/06/17,1.90
1966/06/18,3.40
1966/06/19,8.38
1966/06/20,1.50
1966/06/21,0.816
1966/06/22,0.883
1966/06/23,0.883
1966/06/24,0.883
1966/06/25,0.883
1966/06/26,0.850
1966/06/27,0.850
1966/06/28,0.883
1966/06/29,0.883
1966/06/30,0.883
1966/07/01,0.985
1966/07/02,0.917
1966/07/03,0.883
1966/07/04,0.850
1966/07/05,0.850
1966/07/06,0.850
1966/07/07,0.850
1966/07/08,0.816
1966/07/09,0.917
1966/07/10,1.02
1966/07/11,0.883
1966/07/12,0.816
1966/07/13,0.748
1966/07/14,0.782
1966/07/15,0.816
1966/07/16,0.782
1966/07/17,0.748
1966/07/18,0.680
1966/07/19,1.50
1966/07/20,1.07
1966/07/21,0.883
1966/07/22,0.951
1966/07/23,0.850
1966/07/24,0.782
1966/07/25,0.714
1966/07/26,0.816
1966/07/27,0.850
1966/07/28,1.40
1966/07/29,1.56
1966/07/30,1.02
1966/07/31,1.13
1966/08/01,2.24
1966/08/02,1.97
1966/08/03,2.17
1966/08/04,1.83
1966/08/05,1.34
1966/08/06,1.18
1966/08/07,1.29
1966/08/08,1.97
1966/08/09,8.16
1966/08/10,11.5
1966/08/11,3.82
1966/08/12,3.09
1966/08/13,2.31
1966/08/14,6.57
1966/08/15,17.3
1966/08/16,15.9
1966/08/17,9.97
1966/08/18,1.76
1966/08/19,1.45
1966/08/20,1.18
1966/08/21,1.34
1966/08/22,1.18
1966/08/23,1.18
1966/08/24,1.13
1966/08/25,1.07
1966/08/26,0.951
1966/08/27,1.13
1966/08/28,0.917
1966/08/29,0.883
1966/08/30,0.883
1966/08/31,0.917
1966/09/01,1.02
1966/09/02,0.951
1966/09/03,4.39
1966/09/04,19.0
1966/09/05,6.68
1966/09/06,1.76
1966/09/07,1.56
1966/09/08,1.63
1966/09/09,3.26
1966/09/10,3.00
1966/09/11,2.24
1966/09/12,1.56
1966/09/13,1.18
1966/09/14,0.985
1966/09/15,0.917
1966/09/16,0.850
1966/09/17,1.29
1966/09/18,1.23
1966/09/19,1.45
1966/09/20,1.56
1966/09/21,1.40
1966/09/22,1.23
1966/09/23,1.02
1966/09/24,0.883
1966/09/25,0.850
1966/09/26,0.883
1966/09/27,1.13
1966/09/28,0.883
1966/09/29,0.850
1966/09/30,1.02
1966/10/01,1.23
1966/10/02,1.29
1966/10/03,1.23
1966/10/04,1.02
1966/10/05,3.40
1966/10/06,5.58
1966/10/07,7.14
1966/10/08,11.2
1966/10/09,9.40
1966/10/10,8.16
1966/10/11,7.59
1966/10/12,6.80
1966/10/13,6.46
1966/10/14,6.23
1966/10/15,5.21
1966/10/16,6.46
1966/10/17,19.6
1966/10/18,25.5
1966/10/19,18.5
1966/10/20,5.24
1966/10/21,1.90
1966/10/22,3.48
1966/10/23,45.6
1966/10/24,64.6
1966/10/25,21.7
1966/10/26,7.79
1966/10/27,4.98
1966/10/28,4.59
1966/10/29,6.00
1966/10/30,6.00
1966/10/31,5.66
1966/11/01,8.52
1966/11/02,9.63
1966/11/03,17.7
1966/11/04,18.3
1966/11/05,21.5
1966/11/06,14.3
1966/11/07,9.63
1966/11/08,6.57
1966/11/09,6.80
1966/11/10,6.23
1966/11/11,5.47
1966/11/12,4.59
1966/11/13,3.51
1966/11/14,1.52
1966/11/15,0.476
1966/11/16,0.425
1966/11/17,0.411
1966/11/18,0.354
1966/11/19,1.07
1966/11/20,0.748
1966/11/21,0.654
1966/11/22,0.629
1966/11/23,0.883
1966/11/24,41.1
1966/11/25,26.4
1966/11/26,14.7
1966/11/27,11.2
1966/11/28,8.07
1966/11/29,5.55
1966/11/30,2.81
1966/12/01,0.850
1966/12/02,0.850
1966/12/03,0.782
1966/12/04,0.714
1966/12/05,0.654
1966/12/06,0.552
1966/12/07,0.368
1966/12/08,0.266
1966/12/09,0.272
1966/12/10,0.283
1966/12/11,0.411
1966/12/12,0.816
1966/12/13,1.23
1966/12/14,2.49
1966/12/15,4.47
1966/12/16,9.63
1966/12/17,18.1
1966/12/18,16.5
1966/12/19,13.6
1966/12/20,12.2
1966/12/21,9.46
1966/12/22,5.58
1966/12/23,1.84
1966/12/24,1.84
1966/12/25,1.90
1966/12/26,1.90
1966/12/27,1.90
1966/12/28,6.40
1966/12/29,17.5
1966/12/30,20.1
1966/12/31,30.0
1967/01/01,23.6
1967/01/02,17.9
1967/01/03,7.82
1967/01/04,2.12
1967/01/05,2.12
1967/01/06,2.07
1967/01/07,15.0
1967/01/08,8.81
1967/01/09,6.94
1967/01/10,25.4
1967/01/11,18.1
1967/01/12,7.22
1967/01/13,2.12
1967/01/14,2.83
1967/01/15,25.8
1967/01/16,24.0
1967/01/17,6.97
1967/01/18,1.18
1967/01/19,1.23
1967/01/20,1.18
1967/01/21,1.18
1967/01/22,0.816
1967/01/23,0.603
1967/01/24,0.578
1967/01/25,0.552
1967/01/26,0.527
1967/01/27,0.501
1967/01/28,0.476
1967/01/29,0.476
1967/01/30,0.450
1967/01/31,0.425
1967/02/01,0.425
1967/02/02,1.02
1967/02/03,1.13
1967/02/04,20.3
1967/02/05,23.8
1967/02/06,26.2
1967/02/07,19.9
1967/02/08,14.7
1967/02/09,12.5
1967/02/10,16.7
1967/02/11,19.7
1967/02/12,16.9
1967/02/13,11.7
1967/02/14,8.21
1967/02/15,4.98
1967/02/16,3.96
1967/02/17,3.34
1967/02/18,2.83
1967/02/19,2.41
1967/02/20,3.00
1967/02/21,2.92
1967/02/22,2.83
1967/02/23,3.17
1967/02/24,3.96
1967/02/25,4.08
1967/02/26,4.19
1967/02/27,5.15
1967/02/28,5.89
1967/03/01,6.00
1967/03/02,5.47
1967/03/03,4.67
1967/03/04,4.08
1967/03/05,3.88
1967/03/06,3.60
1967/03/07,3.51
1967/03/08,3.88
1967/03/09,3.88
1967/03/10,3.51
1967/03/11,3.26
1967/03/12,2.69
1967/03/13,1.72
1967/03/14,0.991
1967/03/15,0.595
1967/03/16,0.340
1967/03/17,0.368
1967/03/18,0.501
1967/03/19,0.411
1967/03/20,0.411
1967/03/21,0.501
1967/03/22,0.629
1967/03/23,0.985
1967/03/24,0.985
1967/03/25,1.02
1967/03/26,1.07
1967/03/27,1.23
1967/03/28,1.40
1967/03/29,1.67
1967/03/30,1.78
1967/03/31,1.50
1967/04/01,1.13
1967/04/02,1.23
1967/04/03,1.34
1967/04/04,1.45
1967/04/05,1.61
1967/04/06,1.56
1967/04/07,1.45
1967/04/08,1.84
1967/04/09,2.27
1967/04/10,2.62
1967/04/11,2.92
1967/04/12,3.60
1967/04/13,3.88
1967/04/14,3.51
1967/04/15,3.51
1967/04/16,3.60
1967/04/17,3.60
1967/04/18,3.79
1967/04/19,3.60
1967/04/20,2.92
1967/04/21,2.48
1967/04/22,2.19
1967/04/23,1.84
1967/04/24,3.45
1967/04/25,4.59
1967/04/26,4.19
1967/04/27,2.97
1967/04/28,1.67
1967/04/29,1.73
1967/04/30,1.73
1967/05/01,1.78
1967/05/02,1.78
1967/05/03,1.95
1967/05/04,1.95
1967/05/05,10.8
1967/05/06,31.1
1967/05/07,29.2
1967/05/08,31.7
1967/05/09,12.7
1967/05/10,5.38
1967/05/11,5.38
1967/05/12,5.15
1967/05/13,5.38
1967/05/14,11.2
1967/05/15,12.7
1967/05/16,14.3
